"Rank","Root Domain","Linking Root Domains","Domain Authority"
"177","dan.com","3,997,986","94"
"178","google.co.uk","601,775","94"
"179","myaccount.google.com","359,941","94"
"180","php.net","664,540","93"
"181","disqus.com","942,222","93"
"182","nicovideo.jp","163,879","93"
"183","aol.com","686,043","93"
"184","netflix.com","377,922","93"
"185","radiofrance.fr","129,889","93"
"186","target.com","305,230","93"
"187","offset.com","1,675,775","93"
"188","blog.fc2.com","389,623","93"
"189","imageshack.com","461,409","93"
"190","yandex.ru","1,031,924","93"
"191","themeforest.net","535,229","93"
"192","dw.com","405,301","93"
"193","lemonde.fr","276,155","93"
"194","picasa.google.com","257,906","93"
"195","canada.ca","280,625","93"
"196","discord.gg","372,946","93"
"197","lefigaro.fr","229,984","93"
"198","alicdn.com","542,288","93"
"199","pexels.com","351,038","93"
"200","search.yahoo.com","474,110","93"
"201","mega.nz","192,042","93"
"202","engadget.com","452,055","93"
"203","amazon.fr","259,956","93"
"204","yelp.com","956,047","93"
"205","addtoany.com","705,777","93"
"206","ja.wikipedia.org","371,162","93"
"207","fb.me","344,020","93"
"208","alibaba.com","408,469","93"
"209","express.co.uk","389,382","93"
"210","arxiv.org","258,649","93"
"211","deezer.com","168,486","93"
"212","www.wix.com","736,718","93"
"213","thenai.org","509,831","93"
"214","smh.com.au","321,388","93"
"215","adssettings.google.com","410,956","93"
"216","lexpress.fr","121,584","93"
"217","gnu.org","589,130","93"
"218","code.google.com","322,965","93"
"219","francetvinfo.fr","177,754","93"
"220","sciencedirect.com","677,863","93"
"221","ria.ru","198,757","93"
"222","ftc.gov","300,998","93"
"223","guardian.co.uk","608,771","93"
"224","translate.google.com","298,184","93"
"225","cointernet.com.co","605,298","93"
"226","pl.wikipedia.org","150,819","93"
"227","biglobe.ne.jp","241,450","93"
"228","mit.edu","726,759","93"
"229","nginx.org","817,017","93"
"230","wired.com","698,217","93"
"231","skype.com","440,721","93"
"232","vkontakte.ru","356,050","93"
"233","hollywoodreporter.com","304,861","93"
"234","clickbank.net","480,712","93"
"235","abcnews.go.com","591,511","93"
"236","disney.com","257,832","93"
"237","liveinternet.ru","347,809","93"
"238","eventbrite.com","663,377","93"
"239","wikihow.com","633,891","93"
"240","stanford.edu","654,359","93"
"241","rambler.ru","942,757","93"
"242","ca.gov","541,187","93"
"243","addthis.com","659,481","93"
"244","twitch.tv","480,134","93"
"245","nationalgeographic.com","645,070","93"
"246","unsplash.com","620,555","93"
"247","google.ru","200,692","93"
"248","dreamstime.com","439,534","93"
"249","abc.net.au","424,040","93"
"250","windows.net","426,685","93"
"251","academia.edu","402,246","93"
"252","walmart.com","362,667","93"
"253","quora.com","460,994","93"
"254","berkeley.edu","506,108","93"
"255","gizmodo.com","413,036","93"
"256","ggpht.com","790,332","93"
"257","ssl-images-amazon.com","575,323","93"
"258","spiegel.de","372,693","93"
"259","surveymonkey.com","454,811","93"
"260","bandcamp.com","627,751","93"
"261","webnode.page","518,945","93"
"262","outlook.com","386,394","93"
"263","weibo.com","1,398,453","93"
"264","m.wikipedia.org","333,159","93"
"265","xing.com","502,319","93"
"266","amzn.to","974,637","93"
"267","nypost.com","437,927","93"
"268","sfgate.com","393,711","93"
"269","oup.com","428,768","93"
"270","newyorker.com","440,755","93"
"271","pbs.org","552,577","93"
"272","wiktionary.org","325,021","93"
"273","sciencemag.org","325,079","93"
"274","wiley.com","647,245","93"
"275","ietf.org","395,982","93"
"276","ibm.com","525,139","93"
"277","privacyshield.gov","435,424","93"
"278","hp.com","491,725","93"
"279","nginx.com","727,390","93"
"280","cbc.ca","503,525","93"
"281","discord.com","412,971","93"
"282","akamaihd.net","594,804","93"
"283","spotify.com","1,569,541","93"
"284","secureserver.net","1,015,026","93"
"285","mozilla.com","209,702","93"
"286","pinterest.fr","128,807","93"
"287","nydailynews.com","399,264","93"
"288","rapidshare.com","289,520","93"
"289","xbox.com","204,361","93"
"290","newsweek.com","406,734","93"
"291","icann.org","648,714","93"
"292","photos1.blogger.com","884,351","93"
"293","ziddu.com","191,198","93"
"294","sedo.com","2,920,492","93"
"295","whitehouse.gov","411,838","93"
"296","economist.com","393,868","93"
"297","amazon.it","159,449","93"
"298","sakura.ne.jp","402,666","93"
"299","www.livejournal.com","3,016,262","93"
"300","mashable.com","447,862","93"
"301","sciencedaily.com","375,546","93"
"302","akamaized.net","335,510","93"
"303","insider.com","380,553","93"
"304","android.com","318,853","93"
"305","e-monsite.com","147,872","93"
"306","huawei.com","1,956,589","93"
"307","nbcnews.com","707,406","93"
"308","yandex.com","1,540,202","93"
"309","sputniknews.com","192,989","93"
"310","doi.org","540,120","93"
"311","www.gov.br","163,105","93"
"312","id.wikipedia.org","545,759","93"
"313","finance.yahoo.com","496,529","93"
"314","detik.com","428,413","93"
"315","theatlantic.com","586,717","93"
"316","latimes.com","744,377","93"
"317","steampowered.com","295,519","93"
"318","ipv4.google.com","334,366","93"
"319","tripadvisor.com","748,100","93"
"320","lavanguardia.com","155,865","93"
"321","ebay.com","959,964","93"
"322","goodreads.com","917,002","93"
"323","oracle.com","613,349","93"
"324","zoom.us","666,033","93"
"325","techcrunch.com","526,060","93"
"326","instructables.com","360,337","93"
"327","xinhuanet.com","591,808","93"
"328","bp2.blogger.com","558,369","93"
"329","buzzfeed.com","631,548","93"
"330","ouest-france.fr","126,442","93"
"331","britannica.com","531,254","93"
"332","rtve.es","192,128","93"
"333","yahoo.co.jp","672,048","93"
"334","standard.co.uk","265,970","93"
"335","google.co.in","280,281","93"
"336","photobucket.com","1,755,782","93"
"337","hubspot.com","345,836","93"
"338","groups.google.com","366,231","93"
"339","www.canalblog.com","408,740","93"
"340","naver.com","528,175","93"
"341","cnil.fr","228,196","93"
"342","ovh.com","533,654","93"
"343","netlify.app","397,312","93"
"344","rt.com","322,164","93"
"345","www.wikipedia.org","548,045","93"
"346","apache.org","1,008,922","93"
"347","qq.com","4,204,183","93"
"348","ikea.com","373,651","93"
"349","cnbc.com","588,393","93"
"350","ea.com","216,853","93"
"351","unesco.org","345,940","93"
"352","cambridge.org","361,287","93"
"353","godaddy.com","2,527,157","93"
"354","npr.org","869,766","93"
"355","springer.com","523,619","93"
"356","gmail.com","215,542","93"
"357","zendesk.com","527,243","93"
"358","clarin.com","147,948","93"
"359","prezi.com","334,254","93"
"360","sendspace.com","153,495","93"
"361","kickstarter.com","491,129","93"
"362","metro.co.uk","281,587","93"
"363","playstation.com","254,982","93"
"364","timeweb.ru","620,383","93"
"365","www.over-blog.com","814,140","93"
"366","cornell.edu","472,286","93"
"367","gofundme.com","359,537","93"
"368","cpanel.com","1,029,459","93"
"369","doubleclick.net","591,186","93"
"370","alexa.com","317,851","93"
"371","google.nl","253,878","93"
"372","plos.org","318,818","93"
"373","espn.com","401,960","93"
"374","ted.com","644,910","93"
"375","leparisien.fr","145,913","93"
"376","harvard.edu","783,999","93"
"377","gooyaabitemplates.com","530,334","93"
"378","thetimes.co.uk","426,746","93"
"379","sapo.pt","234,395","93"
"380","books.google.com","445,173","93"
"381","googleblog.com","269,535","93"
"382","psychologytoday.com","396,366","93"
"383","rakuten.co.jp","650,800","93"
"384","linktr.ee","462,842","93"
"385","redbull.com","167,668","93"
"386","theverge.com","420,740","93"
"387","about.com","748,101","93"
"388","freepik.com","353,169","93"
"389","reg.ru","439,629","93"
"390","urbandictionary.com","261,990","93"
"391","google.ca","343,489","93"
"392","20minutos.es","178,003","93"
"393","bloglovin.com","557,449","93"
"394","vice.com","416,263","93"
"395","usnews.com","470,847","93"
"396","venturebeat.com","250,659","92"
"397","about.me","365,911","92"
"398","gettyimages.com","398,931","92"
"399","corriere.it","184,348","92"
"400","weather.com","234,462","92"
"401","over-blog-kiwi.com","215,390","92"
"402","public-api.wordpress.com","191,375","92"
"403","g.co","158,197","92"
"404","airbnb.com","230,956","92"
"405","bustle.com","217,431","92"
"406","variety.com","314,586","92"
"407","cbslocal.com","327,354","92"
"408","ads.google.com","158,709","92"
"409","google.co.th","120,133","92"
"410","archives.gov","279,298","92"
"411","intel.com","260,012","92"
"412","mysql.com","427,026","92"
"413","debian.org","414,789","92"
"414","marketwatch.com","390,164","92"
"415","oecd.org","218,534","92"
"416","goo.ne.jp","333,830","92"
"417","orange.fr","179,246","92"
"418","pnas.org","246,379","92"
"419","excite.co.jp","497,600","92"
"420","stuff.co.nz","194,896","92"
"421","ovh.co.uk","385,943","92"
"422","salesforce.com","232,084","92"
"423","reverbnation.com","217,638","92"
"424","noaa.gov","345,484","92"
"425","focus.de","162,547","92"
"426","amazon.in","213,001","92"
"427","thefreedictionary.com","268,464","92"
"428","rottentomatoes.com","260,162","92"
"429","pcmag.com","307,419","92"
"430","prnewswire.com","467,389","92"
"431","giphy.com","457,458","92"
"432","jhu.edu","251,767","92"
"433","howstuffworks.com","321,402","92"
"434","admin.ch","199,168","92"
"435","com.com","249,658","92"
"436","scholastic.com","198,182","92"
"437","narod.ru","273,229","92"
"438","java.com","151,499","92"
"439","google.com.tw","144,055","92"
"440","washington.edu","382,550","92"
"441","usgs.gov","245,764","92"
"442","theconversation.com","349,627","92"
"443","jstor.org","252,008","92"
"444","fortune.com","302,358","92"
"445","mailchimp.com","396,446","92"
"446","feedproxy.google.com","743,951","92"
"447","amazon.ca","243,788","92"
"448","m.me","246,097","92"
"449","softonic.com","160,309","92"
"450","kakao.com","148,521","92"
"451","espn.go.com","255,082","92"
"452","bigcommerce.com","339,265","92"
"453","ubuntu.com","240,259","92"
"454","deloitte.com","224,891","92"
"455","parallels.com","544,747","92"
"456","fifa.com","192,989","92"
"457","usc.edu","241,634","92"
"458","psu.edu","340,990","92"
"459","scientificamerican.com","342,340","92"
"460","merriam-webster.com","328,938","92"
"461","gfycat.com","153,117","92"
"462","techradar.com","180,865","92"
"463","gitlab.com","191,415","92"
"464","asus.com","172,400","92"
"465","pewresearch.org","326,132","92"
"466","rollingstone.com","360,904","92"
"467","inc.com","283,138","92"
"468","fastcompany.com","337,523","92"
"469","chicagotribune.com","383,175","92"
"470","channel4.com","171,233","92"
"471","umich.edu","364,661","92"
"472","woocommerce.com","211,819","92"
"473","politico.com","298,368","92"
"474","ibb.co","172,992","92"
"475","uber.com","155,355","92"
"476","theglobeandmail.com","270,679","92"
"477","nl.wikipedia.org","175,048","92"
"478","chinadaily.com.cn","293,057","92"
"479","liberation.fr","128,818","92"
"480","unam.mx","153,362","92"
"481","my.yahoo.com","1,199,032","92"
"482","dailystar.co.uk","158,088","92"
"483","sky.com","241,205","92"
"484","storage.canalblog.com","315,314","92"
"485","indianexpress.com","270,676","92"
"486","sina.com.cn","1,005,963","92"
"487","viglink.com","402,108","92"
"488","statista.com","373,067","92"
"489","as.com","162,161","92"
"490","usda.gov","422,991","92"
"491","trello.com","291,430","92"
"492","columbia.edu","350,342","92"
"493","wordreference.com","130,562","92"
"494","xda-developers.com","162,719","92"
"495","mixcloud.com","238,346","92"
"496","getbootstrap.com","213,961","92"
"497","utexas.edu","288,672","92"
"498","kompas.com","301,543","92"
"499","rbc.ru","131,358","92"
"500","seesaa.net","282,327","92"
